date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:08	80850/80850	---MCZ	200	added ('OK')	text/html	etag:W/%22599ceccc-13bd2%22	https://html.waituk.com/roxine/index.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/index.html	(from )
15:45:08	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Feb%202024%2010:15:08%20GMT	https://html.waituk.com/robots.txt		(from )
15:45:09	8492/8492	---MCZ	200	added ('OK')	text/css	etag:W/%2259a391b7-212c%22	https://html.waituk.com/roxine/css/fonts/icomoon/icomoon.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/css/fonts/icomoon/icomoon.css	(from https://html.waituk.com/roxine/index.html)
15:45:09	32318/32318	---MCZ	200	added ('OK')	text/css	etag:W/%22597973e5-7e3e%22	https://html.waituk.com/roxine/vendors/font-awesome/css/font-awesome.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/font-awesome/css/font-awesome.css	(from https://html.waituk.com/roxine/index.html)
15:45:09	3011/3011	---MCZ	200	added ('OK')	text/css	etag:W/%22597973ec-bc3%22	https://html.waituk.com/roxine/vendors/owl-carousel/dist/assets/owl.carousel.min.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/owl-carousel/dist/assets/owl.carousel.min.css	(from https://html.waituk.com/roxine/index.html)
15:45:09	1003/1003	---MCZ	200	added ('OK')	text/css	etag:W/%22597973ec-3eb%22	https://html.waituk.com/roxine/vendors/owl-carousel/dist/assets/owl.theme.default.min.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/owl-carousel/dist/assets/owl.theme.default.min.css	(from https://html.waituk.com/roxine/index.html)
15:45:10	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%22597973c6-11a43%22	https://html.waituk.com/roxine/vendors/animate/animate.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/animate/animate.css	(from https://html.waituk.com/roxine/index.html)
15:45:10	839/839	---MCZ	200	added ('OK')	text/css	etag:W/%22597973fb-347%22	https://html.waituk.com/roxine/vendors/rateyo/jquery.rateyo.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/rateyo/jquery.rateyo.css	(from https://html.waituk.com/roxine/index.html)
15:45:10	17144/17144	---MCZ	200	added ('OK')	text/css	etag:W/%22597973c7-42f8%22	https://html.waituk.com/roxine/vendors/bootstrap-datepicker/css/bootstrap-datepicker.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/bootstrap-datepicker/css/bootstrap-datepicker.css	(from https://html.waituk.com/roxine/index.html)
15:45:10	4939/4939	---MCZ	200	added ('OK')	text/css	etag:W/%22597973e5-134b%22	https://html.waituk.com/roxine/vendors/fancyBox/source/jquery.fancybox.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/fancyBox/source/jquery.fancybox.css	(from https://html.waituk.com/roxine/index.html)
15:45:11	735/735	---MCZ	200	added ('OK')	text/css	etag:W/%22597973e5-2df%22	https://html.waituk.com/roxine/vendors/fancyBox/source/helpers/jquery.fancybox-thumbs.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/fancyBox/source/helpers/jquery.fancybox-thumbs.css	(from https://html.waituk.com/roxine/index.html)
15:45:11	191565/191565	---MCZ	200	added ('OK')	text/css	etag:W/%2259a391bb-2ec4d%22	https://html.waituk.com/roxine/css/bootstrap.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/css/bootstrap.css	(from https://html.waituk.com/roxine/index.html)
15:45:11	29629/29629	---MCZ	200	added ('OK')	text/css	etag:W/%225979752d-73bd%22	https://html.waituk.com/roxine/vendors/rev-slider/revolution/css/settings.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/rev-slider/revolution/css/settings.css	(from https://html.waituk.com/roxine/index.html)
15:45:11	146597/146597	---MCZ	200	added ('OK')	text/css	etag:W/%225979752c-23ca5%22	https://html.waituk.com/roxine/vendors/rev-slider/revolution/css/layers.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/rev-slider/revolution/css/layers.css	(from https://html.waituk.com/roxine/index.html)
15:45:12	59576/59576	---MCZ	200	added ('OK')	text/css	etag:W/%225979752e-e8b8%22	https://html.waituk.com/roxine/vendors/rev-slider/revolution/css/navigation.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/vendors/rev-slider/revolution/css/navigation.css	(from https://html.waituk.com/roxine/index.html)
15:45:12	282451/282451	---MCZ	200	added ('OK')	text/css	etag:W/%2259a391bf-44f53%22	https://html.waituk.com/roxine/css/main.css	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/css/main.css	(from https://html.waituk.com/roxine/index.html)
15:45:13	43695/43695	---MCZ	200	added ('OK')	text/html	etag:W/%225996ad53-aaaf%22	https://html.waituk.com/roxine/about.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/about.html	(from https://html.waituk.com/roxine/index.html)
15:45:13	52995/52995	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6b-cf03%22	https://html.waituk.com/roxine/blog-single.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/blog-single.html	(from https://html.waituk.com/roxine/index.html)
15:45:13	45952/45952	---MCZ	200	added ('OK')	text/html	etag:W/%22599ff2fc-b380%22	https://html.waituk.com/roxine/contact.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/contact.html	(from https://html.waituk.com/roxine/index.html)
15:45:13	1665/1665	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259a391b5-681%22	https://html.waituk.com/roxine/img/logo.svg	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/img/logo.svg	(from https://html.waituk.com/roxine/index.html)
15:45:14	1668/1668	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259a391b5-684%22	https://html.waituk.com/roxine/img/logo-dark.svg	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/img/logo-dark.svg	(from https://html.waituk.com/roxine/index.html)
15:45:14	93473/93473	---MCZ	200	added ('OK')	text/html	etag:W/%22599bad8d-16d21%22	https://html.waituk.com/roxine/design-studio.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/design-studio.html	(from https://html.waituk.com/roxine/index.html)
15:45:14	50616/50616	---MCZ	200	added ('OK')	text/html	etag:W/%22599d402b-c5b8%22	https://html.waituk.com/roxine/digital-agency.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/digital-agency.html	(from https://html.waituk.com/roxine/index.html)
15:45:14	64083/64083	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6b-fa53%22	https://html.waituk.com/roxine/construction.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/construction.html	(from https://html.waituk.com/roxine/index.html)
15:45:15	57594/57594	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3e24f-e0fa%22	https://html.waituk.com/roxine/corporate.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/corporate.html	(from https://html.waituk.com/roxine/index.html)
15:45:15	44332/44332	---MCZ	200	added ('OK')	text/html	etag:W/%2259969dea-ad2c%22	https://html.waituk.com/roxine/header-v1.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v1.html	(from https://html.waituk.com/roxine/index.html)
15:45:15	47768/47768	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6b-ba98%22	https://html.waituk.com/roxine/header-v2.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v2.html	(from https://html.waituk.com/roxine/index.html)
15:45:15	47659/47659	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6c-ba2b%22	https://html.waituk.com/roxine/header-v3.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v3.html	(from https://html.waituk.com/roxine/index.html)
15:45:15	47661/47661	---MCZ	200	added ('OK')	text/html	etag:W/%22599a834c-ba2d%22	https://html.waituk.com/roxine/header-v4.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v4.html	(from https://html.waituk.com/roxine/index.html)
15:45:16	44326/44326	---MCZ	200	added ('OK')	text/html	etag:W/%2259969deb-ad26%22	https://html.waituk.com/roxine/header-v5.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v5.html	(from https://html.waituk.com/roxine/index.html)
15:45:16	47779/47779	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6c-baa3%22	https://html.waituk.com/roxine/header-v6.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v6.html	(from https://html.waituk.com/roxine/index.html)
15:45:16	47778/47778	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6c-baa2%22	https://html.waituk.com/roxine/header-v7.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v7.html	(from https://html.waituk.com/roxine/index.html)
15:45:16	44284/44284	---MCZ	200	added ('OK')	text/html	etag:W/%2259969deb-acfc%22	https://html.waituk.com/roxine/header-v8.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v8.html	(from https://html.waituk.com/roxine/index.html)
15:45:17	44470/44470	---MCZ	200	added ('OK')	text/html	etag:W/%2259969deb-adb6%22	https://html.waituk.com/roxine/header-v9.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v9.html	(from https://html.waituk.com/roxine/index.html)
15:45:17	47991/47991	---MCZ	200	added ('OK')	text/html	etag:W/%2259a3cd6c-bb77%22	https://html.waituk.com/roxine/header-v10.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/header-v10.html	(from https://html.waituk.com/roxine/index.html)
15:45:17	29984/29984	---MCZ	200	added ('OK')	text/html	etag:W/%22599f9f07-7520%22	https://html.waituk.com/roxine/features-simple-mega.html	D:/Folder/Excel%20Tips/Haridas%20Website/html.waituk.com/roxine/features-simple-mega.html	(from https://html.waituk.com/roxine/index.html)
